source_group,inscd,insureCd,product_name,sell_open_date,sell_end_date,renewable,kcisInsKcd,prodPbanGrpCd,kliaProdClcd,doc_type_code,doc_type_name,version,pdf_url,content_type,content_length_header,local_file,download_status,download_bytes,version_num,repo_pdf_path
main,R00458003,R00458,무배당다이렉트여성특화암보장특약(갱신형),20240401,99991231,Y,5.0,,,P,상품약관,4,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R00458003_4_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R00458003_4_P_무배당다이렉트여성특화암보장특약(갱신형).pdf,downloaded,471264.0,4,features\policy_graph_rag\data\policy_pdfs\R00458003_4_P_무배당다이렉트여성특화암보장특약(갱신형).pdf
main,R00460003,R00460,무배당다이렉트위암보장특약(갱신형),20240401,99991231,Y,5.0,,,P,상품약관,4,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R00460003_4_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R00460003_4_P_무배당다이렉트위암보장특약(갱신형).pdf,downloaded,464264.0,4,features\policy_graph_rag\data\policy_pdfs\R00460003_4_P_무배당다이렉트위암보장특약(갱신형).pdf
main,R00518002,R00518,무배당다이렉트충전특약(갱신형),20240401,99991231,Y,8.0,,,P,상품약관,4,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R00518002_4_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R00518002_4_P_무배당다이렉트충전특약(갱신형).pdf,downloaded,473098.0,4,features\policy_graph_rag\data\policy_pdfs\R00518002_4_P_무배당다이렉트충전특약(갱신형).pdf
main,R00464003,R00464,무배당다이렉트췌장암보장특약(갱신형),20240401,99991231,Y,5.0,,,P,상품약관,4,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R00464003_4_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R00464003_4_P_무배당다이렉트췌장암보장특약(갱신형).pdf,downloaded,466144.0,4,features\policy_graph_rag\data\policy_pdfs\R00464003_4_P_무배당다이렉트췌장암보장특약(갱신형).pdf
main,R00517002,R00517,무배당다이렉트크라운특약(갱신형),20240401,99991231,Y,8.0,,,P,상품약관,4,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R00517002_4_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R00517002_4_P_무배당다이렉트크라운특약(갱신형).pdf,downloaded,482240.0,4,features\policy_graph_rag\data\policy_pdfs\R00517002_4_P_무배당다이렉트크라운특약(갱신형).pdf
main,R00462003,R00462,무배당다이렉트폐암보장특약(갱신형),20240401,99991231,Y,5.0,,,P,상품약관,4,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R00462003_4_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R00462003_4_P_무배당다이렉트폐암보장특약(갱신형).pdf,downloaded,469455.0,4,features\policy_graph_rag\data\policy_pdfs\R00462003_4_P_무배당다이렉트폐암보장특약(갱신형).pdf
main,R00467004,R00467,무배당다이렉트표적항암약물허가치료특약(갱신형),20240401,99991231,Y,5.0,,,P,상품약관,4,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R00467004_4_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R00467004_4_P_무배당다이렉트표적항암약물허가치료특약(갱신형).pdf,downloaded,696163.0,4,features\policy_graph_rag\data\policy_pdfs\R00467004_4_P_무배당다이렉트표적항암약물허가치료특약(갱신형).pdf
main,B00454001,B00454,무배당라이나건강보험(기본형_갱신형),20260401,99991231,Y,3.0,,6.0,P,상품약관,0,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/B00454001_0_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\B00454001_0_P_무배당라이나건강보험(기본형_갱신형).pdf,downloaded,987990.0,0,features\policy_graph_rag\data\policy_pdfs\B00454001_0_P_무배당라이나건강보험(기본형_갱신형).pdf
main,B00453001,B00453,무배당라이나건강보험(해약환급금미지급형_갱신형),20260401,99991231,Y,3.0,,6.0,P,상품약관,0,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/B00453001_0_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\B00453001_0_P_무배당라이나건강보험(해약환급금미지급형_갱신형).pdf,downloaded,987990.0,0,features\policy_graph_rag\data\policy_pdfs\B00453001_0_P_무배당라이나건강보험(해약환급금미지급형_갱신형).pdf
main,B00430002,B00430,무배당라이나다이나믹건강OK보험(해약환급금미지급형Ⅱ),20260101,99991231,N,4.0,,3.0,P,상품약관,1,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/B00430002_1_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\B00430002_1_P_무배당라이나다이나믹건강OK보험(해약환급금미지급형Ⅱ).pdf,downloaded,930519.0,1,features\policy_graph_rag\data\policy_pdfs\B00430002_1_P_무배당라이나다이나믹건강OK보험(해약환급금미지급형Ⅱ).pdf
main,R01684002,R01684,무배당라이나다이나믹급성심근경색증진단특약(해약환급금미지급형Ⅱ),20260101,99991231,N,3.0,,,P,상품약관,1,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R01684002_1_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R01684002_1_P_무배당라이나다이나믹급성심근경색증진단특약(해약환급금미지급형Ⅱ).pdf,downloaded,479356.0,1,features\policy_graph_rag\data\policy_pdfs\R01684002_1_P_무배당라이나다이나믹급성심근경색증진단특약(해약환급금미지급형Ⅱ).pdf
main,R01682002,R01682,무배당라이나다이나믹뇌경색증진단특약(해약환급금미지급형Ⅱ),20260101,99991231,N,3.0,,,P,상품약관,1,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R01682002_1_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R01682002_1_P_무배당라이나다이나믹뇌경색증진단특약(해약환급금미지급형Ⅱ).pdf,downloaded,518311.0,1,features\policy_graph_rag\data\policy_pdfs\R01682002_1_P_무배당라이나다이나믹뇌경색증진단특약(해약환급금미지급형Ⅱ).pdf
main,R01681002,R01681,무배당라이나다이나믹뇌졸중진단특약(해약환급금미지급형Ⅱ),20260101,99991231,N,3.0,,,P,상품약관,1,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R01681002_1_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R01681002_1_P_무배당라이나다이나믹뇌졸중진단특약(해약환급금미지급형Ⅱ).pdf,downloaded,515239.0,1,features\policy_graph_rag\data\policy_pdfs\R01681002_1_P_무배당라이나다이나믹뇌졸중진단특약(해약환급금미지급형Ⅱ).pdf
main,R01680002,R01680,무배당라이나다이나믹뇌출혈진단특약(해약환급금미지급형Ⅱ),20260101,99991231,N,3.0,,,P,상품약관,1,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R01680002_1_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R01680002_1_P_무배당라이나다이나믹뇌출혈진단특약(해약환급금미지급형Ⅱ).pdf,downloaded,480594.0,1,features\policy_graph_rag\data\policy_pdfs\R01680002_1_P_무배당라이나다이나믹뇌출혈진단특약(해약환급금미지급형Ⅱ).pdf
main,R01665002,R01665,무배당라이나다이나믹뇌혈관질환상급종합병원통원특약(해약환급금미지급형Ⅱ),20260101,99991231,N,3.0,,,P,상품약관,1,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R01665002_1_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R01665002_1_P_무배당라이나다이나믹뇌혈관질환상급종합병원통원특약(해약환급금미지급형Ⅱ).pdf,downloaded,517363.0,1,features\policy_graph_rag\data\policy_pdfs\R01665002_1_P_무배당라이나다이나믹뇌혈관질환상급종합병원통원특약(해약환급금미지급형Ⅱ).pdf
