"연령별",2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"연령별",기대여명(전체) (년),기대여명(남자) (년),기대여명(여자) (년),사망확률(전체),사망확률(남자),사망확률(여자),생존자(전체),생존자(남자),생존자(여자),정지인구(전체),정지인구(남자),정지인구(여자),총생존년수(전체),총생존년수(남자),총생존년수(여자),사망자(전체),사망자(남자),사망자(여자)
"38세",46.6,43.8,49.3,0.00085,0.00106,0.00064,98599,98343,98856,98557,98291,98824,4592056,4306413,4877752,84,105,64
"39세",45.6,42.8,48.4,0.00093,0.00115,0.00072,98515,98238,98792,98469,98182,98757,4493500,4208123,4778928,92,113,71
"40세",44.7,41.9,47.4,0.00101,0.00123,0.00078,98423,98125,98721,98373,98065,98683,4395031,4109941,4680172,99,121,77
"41세",43.7,40.9,46.4,0.00108,0.00133,0.00083,98324,98004,98644,98271,97939,98603,4296658,4011876,4581489,106,130,82
"42세",42.7,40.0,45.5,0.00114,0.00143,0.00086,98218,97874,98562,98162,97804,98520,4198387,3913937,4482885,112,140,85
"43세",41.8,39.0,44.5,0.00121,0.00154,0.00088,98105,97735,98477,98046,97659,98434,4100226,3816133,4384366,118,151,86
"44세",40.8,38.1,43.6,0.00128,0.00167,0.00090,97987,97584,98391,97924,97503,98347,4002179,3718474,4285932,126,163,88
"45세",39.9,37.2,42.6,0.00137,0.00181,0.00094,97861,97421,98303,97794,97333,98257,3904255,3620971,4187585,134,176,93
"46세",38.9,36.2,41.6,0.00148,0.00196,0.00102,97727,97245,98210,97654,97150,98160,3806461,3523638,4089328,145,190,100
"47세",38.0,35.3,40.7,0.00162,0.00214,0.00111,97582,97054,98110,97503,96951,98056,3708807,3426489,3991168,158,207,109
"48세",37.1,34.4,39.7,0.00178,0.00236,0.00120,97424,96847,98001,97337,96733,97942,3611304,3329538,3893112,173,228,118
"49세",36.1,33.5,38.8,0.00193,0.00259,0.00128,97251,96619,97883,97157,96494,97821,3513967,3232805,3795170,188,251,125
"50세",35.2,32.5,37.8,0.00209,0.00284,0.00136,97063,96368,97758,96961,96232,97692,3416810,3136311,3697349,203,274,133
"51세",34.3,31.6,36.9,0.00227,0.00309,0.00146,96859,96095,97625,96750,95946,97554,3319849,3040080,3599657,219,297,142
"52세",33.4,30.7,35.9,0.00244,0.00335,0.00155,96640,95798,97483,96522,95637,97408,3223100,2944133,3502103,236,321,151
"53세",32.4,29.8,35.0,0.00263,0.00365,0.00162,96404,95477,97332,96277,95303,97253,3126578,2848496,3404695,253,348,158
"54세",31.5,28.9,34.0,0.00283,0.00400,0.00168,96151,95129,97174,96015,94938,97093,3030300,2753193,3307442,272,381,163
"55세",30.6,28.1,33.1,0.00305,0.00439,0.00174,95879,94748,97011,95733,94540,96927,2934285,2658255,3210349,292,416,169
"56세",29.7,27.2,32.1,0.00328,0.00477,0.00183,95587,94332,96842,95430,94107,96754,2838552,2563715,3113423,314,450,177
"57세",28.8,26.3,31.2,0.00351,0.00513,0.00194,95273,93882,96665,95106,93641,96571,2743123,2469608,3016669,334,481,187
"58세",27.9,25.4,30.3,0.00377,0.00553,0.00207,94939,93401,96478,94760,93143,96378,2648017,2375967,2920098,358,516,199
"59세",27.0,24.6,29.3,0.00404,0.00596,0.00218,94581,92885,96278,94390,92608,96173,2553257,2282824,2823720,382,553,210
"60세",26.1,23.7,28.4,0.00433,0.00645,0.00230,94199,92331,96068,93995,92033,95958,2458867,2190216,2727547,408,595,221
"61세",25.2,22.9,27.5,0.00468,0.00699,0.00247,93791,91736,95847,93571,91415,95728,2364872,2098183,2631589,439,642,237
"62세",24.3,22.0,26.5,0.00509,0.00759,0.00270,93352,91094,95610,93114,90748,95481,2271301,2006768,2535861,475,691,258
"63세",23.5,21.2,25.6,0.00552,0.00819,0.00299,92877,90403,95352,92620,90032,95209,2178187,1916019,2440380,513,741,285
"64세",22.6,20.4,24.7,0.00595,0.00878,0.00328,92364,89662,95067,92089,89268,94911,2085567,1825987,2345171,550,788,312
"65세",21.7,19.5,23.7,0.00639,0.00941,0.00355,91814,88874,94755,91521,88456,94587,1993478,1736719,2250259,586,836,336
"66세",20.8,18.7,22.8,0.00691,0.01020,0.00386,91228,88038,94419,90913,87589,94237,1901956,1648262,2155672,631,898,364
"67세",20.0,17.9,21.9,0.00757,0.01117,0.00423,90597,87141,94055,90254,86654,93856,1811044,1560673,2061436,686,973,398
"68세",19.1,17.1,21.0,0.00835,0.01229,0.00471,89912,86167,93657,89536,85638,93436,1720790,1474019,1967580,750,1059,442
"69세",18.3,16.3,20.1,0.00928,0.01364,0.00531,89161,85108,93215,88747,84528,92968,1631253,1388382,1874144,828,1160,495
"70세",17.5,15.5,19.2,0.01038,0.01523,0.00599,88333,83948,92720,87875,83308,92443,1542506,1303854,1781176,917,1279,555
"71세",16.6,14.8,18.3,0.01164,0.01705,0.00678,87416,82669,92165,86908,81964,91852,1454631,1220545,1688734,1017,1410,625
"72세",15.8,14.0,17.4,0.01306,0.01910,0.00770,86399,81259,91540,85835,80483,91188,1367723,1138581,1596881,1128,1552,705
"73세",15.0,13.3,16.6,0.01458,0.02120,0.00876,85271,79707,90835,84649,78862,90437,1281888,1058098,1505694,1243,1690,796
"74세",14.2,12.6,15.7,0.01636,0.02360,0.01008,84028,78017,90039,83341,77097,89586,1197239,979235,1415256,1374,1841,908
"75세",13.5,11.8,14.9,0.01826,0.02609,0.01156,82653,76176,89132,81899,75182,88617,1113898,902139,1325670,1509,1987,1031
"76세",12.7,11.1,14.0,0.02048,0.02895,0.01335,81145,74189,88101,80314,73115,87513,1031999,826957,1237054,1662,2148,1176
"77세",12.0,10.5,13.2,0.02307,0.03224,0.01547,79483,72041,86925,78566,70880,86253,951686,753842,1149541,1834,2323,1345
"78세",11.2,9.8,12.4,0.02629,0.03632,0.01812,77649,69719,85580,76628,68452,84805,873120,682962,1063288,2041,2532,1551
"79세",10.5,9.1,11.6,0.03056,0.04188,0.02152,75607,67186,84029,74452,65779,83125,796492,614509,978483,2311,2814,1808
"80세",9.9,8.5,10.9,0.03573,0.04870,0.02558,73297,64373,82221,71987,62805,81170,722040,548730,895358,2619,3135,2104
"81세",9.2,7.9,10.2,0.04163,0.05645,0.03030,70677,61238,80118,69206,59509,78904,650053,485925,814188,2942,3457,2428
"82세",8.6,7.4,9.5,0.04818,0.06476,0.03585,67735,57781,77690,66103,55910,76298,580846,426416,735284,3264,3742,2785
"83세",8.0,6.9,8.8,0.05531,0.07352,0.04217,64471,54039,74905,62688,52052,73325,514743,370506,658987,3566,3973,3159
"84세",7.4,6.4,8.2,0.06355,0.08355,0.04959,60906,50066,71746,58970,47974,69967,452055,318454,585661,3870,4183,3558
"85세",6.9,5.9,7.6,0.07266,0.09463,0.05787,57035,45883,68188,54963,43712,66215,393084,270479,515694,4144,4342,3946
"86세",6.4,5.5,7.0,0.08274,0.10678,0.06720,52891,41541,64242,50703,39323,62084,338121,226768,449479,4376,4436,4317
"87세",5.9,5.1,6.5,0.09385,0.12003,0.07764,48515,37105,59925,46238,34878,57599,287418,187445,387395,4553,4454,4652
"88세",5.5,4.7,6.0,0.10601,0.13441,0.08924,43962,32651,55273,41632,30457,52806,241180,152567,329796,4661,4389,4933
"89세",5.1,4.3,5.5,0.11927,0.14993,0.10206,39301,28263,50340,36957,26144,47771,199548,122109,276990,4688,4237,5138
"90세",4.7,4.0,5.1,0.13365,0.16661,0.11613,34614,24025,45202,32301,22024,42578,162591,95965,229219,4626,4003,5249
"91세",4.3,3.7,4.7,0.14916,0.18444,0.13147,29988,20022,39953,27751,18176,37327,130290,73941,186641,4473,3693,5253
"92세",4.0,3.4,4.3,0.16579,0.20340,0.14809,25515,16329,34700,23400,14669,32131,102539,55765,149314,4230,3321,5139
"93세",3.7,3.2,4.0,0.18353,0.22346,0.16596,21285,13008,29561,19331,11555,27108,79140,41097,117183,3906,2907,4906
"94세",3.4,2.9,3.7,0.20235,0.24455,0.18505,17378,10101,24655,15620,8866,22374,59808,29542,90075,3516,2470,4563
"95세",3.2,2.7,3.4,0.22217,0.26662,0.20529,13862,7631,20093,12322,6614,18030,44188,20676,67701,3080,2035,4125
"96세",3.0,2.5,3.1,0.24294,0.28957,0.22660,10782,5596,15968,9472,4786,14159,31866,14062,49670,2619,1621,3618
"97세",2.7,2.3,2.9,0.26454,0.31330,0.24885,8163,3976,12350,7083,3353,10813,22394,9276,35512,2159,1246,3073
"98세",2.6,2.2,2.7,0.28686,0.33768,0.27190,6003,2730,9276,5142,2269,8015,15311,5923,24699,1722,922,2522
"99세",2.4,2.0,2.5,0.30973,0.36256,0.29559,4281,1808,6754,3618,1480,5756,10169,3654,16683,1326,656,1996
"100세이상",2.2,1.9,2.3,1.00000,1.00000,1.00000,2955,1153,4758,6550,2173,10928,6550,2173,10928,2955,1153,4758
